C,H,L,DL_female,DL_male
0,0,50,-0.23522224616202497,0.200399428394365
0,15,50,-0.23522224616202497,0.200399428394365
0,30,50,-0.23522224616202497,0.200399428394365
0,45,50,-0.23522224616202497,0.200399428394365
0,60,50,-0.23522224616202497,0.200399428394365
0,75,50,-0.23522224616202497,0.200399428394365
0,90,50,-0.23522224616202497,0.200399428394365
0,105,50,-0.23522224616202497,0.200399428394365
0,120,50,-0.23522224616202497,0.200399428394365
0,135,50,-0.23522224616202497,0.200399428394365
0,150,50,-0.23522224616202497,0.200399428394365
0,165,50,-0.23522224616202497,0.200399428394365
0,180,50,-0.23522224616202497,0.200399428394365
0,195,50,-0.23522224616202497,0.200399428394365
0,210,50,-0.23522224616202497,0.200399428394365
0,225,50,-0.23522224616202497,0.200399428394365
0,240,50,-0.23522224616202497,0.200399428394365
0,255,50,-0.23522224616202497,0.200399428394365
0,270,50,-0.23522224616202497,0.200399428394365
0,285,50,-0.23522224616202497,0.200399428394365
0,300,50,-0.23522224616202497,0.200399428394365
0,315,50,-0.23522224616202497,0.200399428394365
0,330,50,-0.23522224616202497,0.200399428394365
0,345,50,-0.23522224616202497,0.200399428394365
0,360,50,-0.23522224616202497,0.200399428394365
5,0,50,-0.2595369815531695,0.15745236692308054
5,15,50,-0.2633481258833875,0.15481514879169286
5,30,50,-0.26563182722893264,0.15323488363421947
5,45,50,-0.2662324551171009,0.15281926390963044
5,60,50,-0.2651090777498981,0.1535966134153123
5,75,50,-0.26233825143843037,0.15551395706708396
5,90,50,-0.2581088034168171,0.15844063106363712
5,105,50,-0.2527089635782379,0.16217718740866424
5,120,50,-0.24650672208403485,0.16646898596220303
5,135,50,-0.23992475144234904,0.1710235477453623
5,150,50,-0.23341160207519066,0.17553048689938897
5,165,50,-0.22741113434844326,0.17968266296900506
5,180,50,-0.22233227022144292,0.18319711201686192
5,195,50,-0.21852112589122494,0.1858343301482496
5,210,50,-0.2162374245456798,0.187414595305723
5,225,50,-0.21563679665751156,0.18783021503031203
5,240,50,-0.2167601740247143,0.18705286552463005
5,255,50,-0.2195310003361821,0.1851355218728585
5,270,50,-0.2237604483577954,0.18220884787630523
5,285,50,-0.22916028819637452,0.17847229153127817
