C,H,L,DL_female,DL_male
20,135,25,-0.18380938741967284,0.0787740259918858
20,150,25,-0.16878373934242685,0.08917140486598799
20,165,25,-0.15494083304956613,0.09875035551794195
20,180,25,-0.14322403972846492,0.10685808829078142
20,195,25,-0.13443183948103976,0.1129420745946993
20,210,25,-0.12916340622435474,0.11658770081734629
20,225,25,-0.12777777497835535,0.11754652355633133
20,240,25,-0.1303693742225926,0.11575320062652195
20,255,25,-0.1367615907513919,0.1113299440219784
20,270,25,-0.14651880557195293,0.10457819137052327
20,285,25,-0.15897608061881427,0.09595806345755431
20,300,25,-0.1732844731841527,0.08605700775490546
20,315,25,-0.18846888996037714,0.0755497648464441
20,330,25,-0.20349453803762318,0.06515238597234191
20,345,25,-0.21733744433048385,0.05557343532038797
20,360,25,-0.22905423765158509,0.047465702547548505
25,0,25,-0.2576908192896557,0.00415404033881879
25,15,25,-0.2677493444982265,-0.002806211689617283
25,30,25,-0.27377658082482836,-0.006976910971888642
25,45,25,-0.2753617820742823,-0.008073831244314864
25,60,25,-0.27239691940110705,-0.006022219203076579
25,75,25,-0.26508404329681223,-0.0009618888183349911
25,90,25,-0.25392151418280634,0.006762306756781106
25,105,25,-0.23967003997125733,0.016623976358664333
25,120,25,-0.22330083507800758,0.02795106350112586
25,135,25,-0.20592943376514194,0.03997164591430358
25,150,25,-0.1887396683245342,0.051866540771691005
25,165,25,-0.1729029928635312,0.06282513064600043
25,180,25,-0.15949865064345672,0.07210060574722371
25,195,25,-0.14944012543488594,0.0790608577756598
25,210,25,-0.1434128891082841,0.08323155705793114
25,225,25,-0.14182768785883013,0.08432847733035737
25,240,25,-0.1447925505320054,0.08227686528911907
25,255,25,-0.15210542663630028,0.07721653490437744
25,270,25,-0.16326795575030614,0.06949233932926138
25,285,25,-0.17751942996185513,0.059630669727378155
25,300,25,-0.19388863485510488,0.04830358258491663
25,315,25,-0.21126003616797046,0.036283000171738966
25,330,25,-0.22844980160857825,0.024388105314351483
25,345,25,-0.2442864770695812,0.013429515440042075
25,360,25,-0.25769081928965565,0.004154040338818818
30,0,25,-0.29003772391304683,-0.04106857147103411
30,15,25,-0.30126516022126126,-0.04883768122797929
30,30,25,-0.3079928276047279,-0.05349306157265611
30,45,25,-0.30976224664925944,-0.05471745602795465
30,60,25,-0.3064528343710745,-0.05242742413515378
30,75,25,-0.29829012174786873,-0.04677902778329128
30,90,25,-0.28583038415539347,-0.03815719584933025
30,105,25,-0.26992273211988577,-0.02714949193131916
30,120,25,-0.2516512458389276,-0.014506072860179686
30,135,25,-0.23226109690750749,-0.0010885667513720054
30,150,25,-0.2130736919315656,0.01218864552726584
30,165,25,-0.1953966208515263,0.02442074390057547
30,180,25,-0.18043454684875315,0.03477413107891411
30,195,25,-0.16920711054053872,0.04254324083585928
30,210,25,-0.16247944315707213,0.04719862118053614
30,225,25,-0.16071002411254054,0.04842301563583462
30,240,25,-0.16401943639072553,0.04613298374303376
30,255,25,-0.1721821490139312,0.04048458739117125
30,270,25,-0.1846418866064065,0.031862755457210234
30,285,25,-0.20054953864191422,0.020855051539199157
30,300,25,-0.21882102492287236,0.00821163246805967
30,315,25,-0.2382111738542924,-0.005205873640747982
30,330,25,-0.2573985788302344,-0.018483085919385883
30,345,25,-0.27507564991027367,-0.030715184292695458
30,360,25,-0.29003772391304683,-0.041068571471034085
35,0,25,-0.32620315131760425,-0.08827700447927671
35,15,25,-0.33852425221985183,-0.09680290323373439
35,30,25,-0.34590726169707375,-0.10191176418742669
35,45,25,-0.3478490398543974,-0.10325542690915135
35,60,25,-0.34421725771934114,-0.1007423230049305
35,75,25,-0.33525941524260544,-0.09454371635273622
35,90,25,-0.32158597458544513,-0.08508203175223371
35,105,25,-0.3041287581322166,-0.07300206737277411
35,120,25,-0.28407744633479326,-0.059127052823732575
35,135,25,-0.2627985029558098,-0.0444025474170806
35,150,25,-0.24174205282142758,-0.029832001862885815
35,165,25,-0.2223430582108755,-0.016408374761701552
35,180,25,-0.20592352854850832,-0.005046464116880867
35,195,25,-0.19360242764626068,0.0034794346375768143
35,210,25,-0.18621941816903875,0.008588295591269127
35,225,25,-0.18427764001171515,0.009931958312993788
35,240,25,-0.18790942214677137,0.007418854408772921
35,255,25,-0.19686726462350712,0.0012202477565786407
35,270,25,-0.21054070528066743,-0.008241436843923852
35,285,25,-0.2279979217338959,-0.020321401223383453
35,300,25,-0.24804923353131927,-0.034196415772424965
35,315,25,-0.26932817691030264,-0.048920921179076926
35,330,25,-0.29038462704468493,-0.06349146673327175
35,345,25,-0.309783621655237,-0.076915093834456
35,360,25,-0.32620315131760413,-0.08827700447927668
40,0,25,-0.3662588775013276,-0.13752092591100534
40,15,25,-0.37961310154832195,-0.14676172046924552
40,30,25,-0.3876151756715782,-0.15229895893046957
40,45,25,-0.389719771743649,-0.15375528764426433
40,60,25,-0.3857834650202324,-0.1510314602154816
40,75,25,-0.37607450829947464,-0.14431310098205533
40,90,25,-0.3612545509370858,-0.1340580550231299
