C,H,L,DL_female,DL_male
0,0,75,-0.33226969736202494,0.189898380494365
0,15,75,-0.33226969736202494,0.189898380494365
0,30,75,-0.33226969736202494,0.189898380494365
0,45,75,-0.33226969736202494,0.189898380494365
0,60,75,-0.33226969736202494,0.189898380494365
0,75,75,-0.33226969736202494,0.189898380494365
0,90,75,-0.33226969736202494,0.189898380494365
0,105,75,-0.33226969736202494,0.189898380494365
0,120,75,-0.33226969736202494,0.189898380494365
0,135,75,-0.33226969736202494,0.189898380494365
0,150,75,-0.33226969736202494,0.189898380494365
0,165,75,-0.33226969736202494,0.189898380494365
0,180,75,-0.33226969736202494,0.189898380494365
0,195,75,-0.33226969736202494,0.189898380494365
0,210,75,-0.33226969736202494,0.189898380494365
0,225,75,-0.33226969736202494,0.189898380494365
0,240,75,-0.33226969736202494,0.189898380494365
0,255,75,-0.33226969736202494,0.189898380494365
0,270,75,-0.33226969736202494,0.189898380494365
0,285,75,-0.33226969736202494,0.189898380494365
0,300,75,-0.33226969736202494,0.189898380494365
0,315,75,-0.33226969736202494,0.189898380494365
0,330,75,-0.33226969736202494,0.189898380494365
0,345,75,-0.33226969736202494,0.189898380494365
0,360,75,-0.33226969736202494,0.189898380494365
5,0,75,-0.35658443275316953,0.14695131902308053
5,15,75,-0.36039557708338754,0.1443141008916929
5,30,75,-0.36267927842893255,0.14273383573421947
5,45,75,-0.36327990631710083,0.1423182160096304
5,60,75,-0.36215652894989814,0.14309556551531238
5,75,75,-0.3593857026384303,0.14501290916708395
5,90,75,-0.355156254616817,0.14793958316363712
5,105,75,-0.34975641477823793,0.15167613950866424
5,120,75,-0.3435541732840348,0.15596793806220302
5,135,75,-0.33697220264234906,0.16052249984536235
5,150,75,-0.33045905327519065,0.16502943899938896
5,165,75,-0.3244585855484432,0.16918161506900506
5,180,75,-0.3193797214214429,0.17269606411686192
5,195,75,-0.3155685770912249,0.1753332822482496
5,210,75,-0.31328487574567976,0.176913547405723
5,225,75,-0.31268424785751153,0.17732916713031202
5,240,75,-0.3138076252247143,0.17655181762463004
5,255,75,-0.31657845153618214,0.1746344739728585
5,270,75,-0.3208078995577953,0.17170779997630534
5,285,75,-0.3262077393963745,0.16797124363127822
5,300,75,-0.3324099808905776,0.16367944507773943
5,315,75,-0.33899195153226336,0.15912488329458016
5,330,75,-0.34550510089942177,0.1546179441405535
5,345,75,-0.3515055686261691,0.1504657680709374
5,360,75,-0.35658443275316953,0.14695131902308053
10,0,75,-0.37613485233514066,0.10795754954042194
10,15,75,-0.3819234915641059,0.10395195358079168
10,30,75,-0.3853921408858457,0.10155173357070499
10,45,75,-0.3863044175812975,0.10092046053729811
10,60,75,-0.38459815150127497,0.10210115469456982
10,75,75,-0.3803896218593933,0.10501335368689127
10,90,75,-0.37396563299582286,0.10945859596557225
10,105,75,-0.36576396913547227,0.11513394561543083
10,120,75,-0.35634356011653434,0.12165263693678785
10,135,75,-0.3463463912456873,0.12857043188873957
10,150,75,-0.336453753060377,0.13541589417750724
10,165,75,-0.32733981250457467,0.14172251686077264
10,180,75,-0.3196256695656593,0.14706051402485795
10,195,75,-0.31383703033669397,0.15106610998448824
10,210,75,-0.3103683810149541,0.15346632999457496
10,225,75,-0.3094561043195023,0.15409760302798178
10,240,75,-0.311162370399525,0.1529169088707101
10,255,75,-0.3153709000414066,0.15000470987838863
10,270,75,-0.3217948889049771,0.14555946759970764
10,285,75,-0.3299965527653276,0.1398841179498491
10,300,75,-0.3394169617842657,0.1333654266284921
10,315,75,-0.34941413065511256,0.12644763167654033
10,330,75,-0.3593067688404229,0.11960216938777266
10,345,75,-0.3684207093962253,0.11329554670450728
10,360,75,-0.37613485233514066,0.10795754954042194
15,0,75,-0.3980447084790223,0.06798761063303371
15,15,75,-0.40543666685411417,0.06287255726213717
15,30,75,-0.409866051790697,0.05980753183839954
15,45,75,-0.4110310080252474,0.05900141077925464
15,60,75,-0.40885214571556205,0.06050912990270507
15,75,75,-0.40347795072730575,0.06422794064211143
15,90,75,-0.395274665567651,0.06990441219120841
15,105,75,-0.3848013305636585,0.07715170239473787
15,120,75,-0.37277168618784595,0.08547592040204258
15,135,75,-0.36000553282449776,0.09430978451234551
15,150,75,-0.3473728627282602,0.10305128148518006
15,165,75,-0.3357345714897173,0.11110469274785442
15,180,75,-0.32588378942359014,0.11792119163170875
15,195,75,-0.3184918310484983,0.1230362450026053
15,210,75,-0.31406244611191547,0.12610127042634292
15,225,75,-0.3128974898773651,0.12690739148548782
