C,H,L,DL_female,DL_male
0.0,0,25,-0.138174794962025,0.210900476294365
0.0,2,25,-0.138174794962025,0.210900476294365
0.0,4,25,-0.138174794962025,0.210900476294365
0.0,6,25,-0.138174794962025,0.210900476294365
0.0,8,25,-0.138174794962025,0.210900476294365
0.0,10,25,-0.138174794962025,0.210900476294365
0.0,12,25,-0.138174794962025,0.210900476294365
0.0,14,25,-0.138174794962025,0.210900476294365
0.0,16,25,-0.138174794962025,0.210900476294365
0.0,18,25,-0.138174794962025,0.210900476294365
0.0,20,25,-0.138174794962025,0.210900476294365
0.0,22,25,-0.138174794962025,0.210900476294365
0.0,24,25,-0.138174794962025,0.210900476294365
0.0,26,25,-0.138174794962025,0.210900476294365
0.0,28,25,-0.138174794962025,0.210900476294365
0.0,30,25,-0.138174794962025,0.210900476294365
0.0,32,25,-0.138174794962025,0.210900476294365
0.0,34,25,-0.138174794962025,0.210900476294365
0.0,36,25,-0.138174794962025,0.210900476294365
0.0,38,25,-0.138174794962025,0.210900476294365
0.0,40,25,-0.138174794962025,0.210900476294365
0.0,42,25,-0.138174794962025,0.210900476294365
0.0,44,25,-0.138174794962025,0.210900476294365
0.0,46,25,-0.138174794962025,0.210900476294365
0.0,48,25,-0.138174794962025,0.210900476294365
0.0,50,25,-0.138174794962025,0.210900476294365
0.0,52,25,-0.138174794962025,0.210900476294365
0.0,54,25,-0.138174794962025,0.210900476294365
0.0,56,25,-0.138174794962025,0.210900476294365
0.0,58,25,-0.138174794962025,0.210900476294365
0.0,60,25,-0.138174794962025,0.210900476294365
0.0,62,25,-0.138174794962025,0.210900476294365
0.0,64,25,-0.138174794962025,0.210900476294365
0.0,66,25,-0.138174794962025,0.210900476294365
0.0,68,25,-0.138174794962025,0.210900476294365
0.0,70,25,-0.138174794962025,0.210900476294365
0.0,72,25,-0.138174794962025,0.210900476294365
0.0,74,25,-0.138174794962025,0.210900476294365
0.0,76,25,-0.138174794962025,0.210900476294365
0.0,78,25,-0.138174794962025,0.210900476294365
0.0,80,25,-0.138174794962025,0.210900476294365
0.0,82,25,-0.138174794962025,0.210900476294365
0.0,84,25,-0.138174794962025,0.210900476294365
0.0,86,25,-0.138174794962025,0.210900476294365
0.0,88,25,-0.138174794962025,0.210900476294365
0.0,90,25,-0.138174794962025,0.210900476294365
0.0,92,25,-0.138174794962025,0.210900476294365
0.0,94,25,-0.138174794962025,0.210900476294365
0.0,96,25,-0.138174794962025,0.210900476294365
0.0,98,25,-0.138174794962025,0.210900476294365
0.0,100,25,-0.138174794962025,0.210900476294365
0.0,102,25,-0.138174794962025,0.210900476294365
0.0,104,25,-0.138174794962025,0.210900476294365
0.0,106,25,-0.138174794962025,0.210900476294365
0.0,108,25,-0.138174794962025,0.210900476294365
0.0,110,25,-0.138174794962025,0.210900476294365
0.0,112,25,-0.138174794962025,0.210900476294365
0.0,114,25,-0.138174794962025,0.210900476294365
0.0,116,25,-0.138174794962025,0.210900476294365
0.0,118,25,-0.138174794962025,0.210900476294365
0.0,120,25,-0.138174794962025,0.210900476294365
0.0,122,25,-0.138174794962025,0.210900476294365
0.0,124,25,-0.138174794962025,0.210900476294365
0.0,126,25,-0.138174794962025,0.210900476294365
0.0,128,25,-0.138174794962025,0.210900476294365
0.0,130,25,-0.138174794962025,0.210900476294365
0.0,132,25,-0.138174794962025,0.210900476294365
0.0,134,25,-0.138174794962025,0.210900476294365
0.0,136,25,-0.138174794962025,0.210900476294365
0.0,138,25,-0.138174794962025,0.210900476294365
0.0,140,25,-0.138174794962025,0.210900476294365
0.0,142,25,-0.138174794962025,0.210900476294365
0.0,144,25,-0.138174794962025,0.210900476294365
0.0,146,25,-0.138174794962025,0.210900476294365
0.0,148,25,-0.138174794962025,0.210900476294365
0.0,150,25,-0.138174794962025,0.210900476294365
0.0,152,25,-0.138174794962025,0.210900476294365
0.0,154,25,-0.138174794962025,0.210900476294365
0.0,156,25,-0.138174794962025,0.210900476294365
0.0,158,25,-0.138174794962025,0.210900476294365
0.0,160,25,-0.138174794962025,0.210900476294365
0.0,162,25,-0.138174794962025,0.210900476294365
0.0,164,25,-0.138174794962025,0.210900476294365
0.0,166,25,-0.138174794962025,0.210900476294365
0.0,168,25,-0.138174794962025,0.210900476294365
0.0,170,25,-0.138174794962025,0.210900476294365
0.0,172,25,-0.138174794962025,0.210900476294365
0.0,174,25,-0.138174794962025,0.210900476294365
0.0,176,25,-0.138174794962025,0.210900476294365
0.0,178,25,-0.138174794962025,0.210900476294365
0.0,180,25,-0.138174794962025,0.210900476294365
0.0,182,25,-0.138174794962025,0.210900476294365
0.0,184,25,-0.138174794962025,0.210900476294365
0.0,186,25,-0.138174794962025,0.210900476294365
0.0,188,25,-0.138174794962025,0.210900476294365
0.0,190,25,-0.138174794962025,0.210900476294365
0.0,192,25,-0.138174794962025,0.210900476294365
0.0,194,25,-0.138174794962025,0.210900476294365
0.0,196,25,-0.138174794962025,0.210900476294365
0.0,198,25,-0.138174794962025,0.210900476294365
0.0,200,25,-0.138174794962025,0.210900476294365
0.0,202,25,-0.138174794962025,0.210900476294365
0.0,204,25,-0.138174794962025,0.210900476294365
0.0,206,25,-0.138174794962025,0.210900476294365
0.0,208,25,-0.138174794962025,0.210900476294365
0.0,210,25,-0.138174794962025,0.210900476294365
0.0,212,25,-0.138174794962025,0.210900476294365
0.0,214,25,-0.138174794962025,0.210900476294365
0.0,216,25,-0.138174794962025,0.210900476294365
0.0,218,25,-0.138174794962025,0.210900476294365
0.0,220,25,-0.138174794962025,0.210900476294365
0.0,222,25,-0.138174794962025,0.210900476294365
0.0,224,25,-0.138174794962025,0.210900476294365
0.0,226,25,-0.138174794962025,0.210900476294365
0.0,228,25,-0.138174794962025,0.210900476294365
0.0,230,25,-0.138174794962025,0.210900476294365
0.0,232,25,-0.138174794962025,0.210900476294365
0.0,234,25,-0.138174794962025,0.210900476294365
0.0,236,25,-0.138174794962025,0.210900476294365
0.0,238,25,-0.138174794962025,0.210900476294365
0.0,240,25,-0.138174794962025,0.210900476294365
0.0,242,25,-0.138174794962025,0.210900476294365
0.0,244,25,-0.138174794962025,0.210900476294365
0.0,246,25,-0.138174794962025,0.210900476294365
0.0,248,25,-0.138174794962025,0.210900476294365
0.0,250,25,-0.138174794962025,0.210900476294365
0.0,252,25,-0.138174794962025,0.210900476294365
0.0,254,25,-0.138174794962025,0.210900476294365
0.0,256,25,-0.138174794962025,0.210900476294365
0.0,258,25,-0.138174794962025,0.210900476294365
0.0,260,25,-0.138174794962025,0.210900476294365
0.0,262,25,-0.138174794962025,0.210900476294365
0.0,264,25,-0.138174794962025,0.210900476294365
0.0,266,25,-0.138174794962025,0.210900476294365
0.0,268,25,-0.138174794962025,0.210900476294365
0.0,270,25,-0.138174794962025,0.210900476294365
0.0,272,25,-0.138174794962025,0.210900476294365
0.0,274,25,-0.138174794962025,0.210900476294365
0.0,276,25,-0.138174794962025,0.210900476294365
0.0,278,25,-0.138174794962025,0.210900476294365
0.0,280,25,-0.138174794962025,0.210900476294365
0.0,282,25,-0.138174794962025,0.210900476294365
0.0,284,25,-0.138174794962025,0.210900476294365
0.0,286,25,-0.138174794962025,0.210900476294365
0.0,288,25,-0.138174794962025,0.210900476294365
0.0,290,25,-0.138174794962025,0.210900476294365
0.0,292,25,-0.138174794962025,0.210900476294365
0.0,294,25,-0.138174794962025,0.210900476294365
0.0,296,25,-0.138174794962025,0.210900476294365
0.0,298,25,-0.138174794962025,0.210900476294365
0.0,300,25,-0.138174794962025,0.210900476294365
0.0,302,25,-0.138174794962025,0.210900476294365
0.0,304,25,-0.138174794962025,0.210900476294365
0.0,306,25,-0.138174794962025,0.210900476294365
0.0,308,25,-0.138174794962025,0.210900476294365
0.0,310,25,-0.138174794962025,0.210900476294365
0.0,312,25,-0.138174794962025,0.210900476294365
0.0,314,25,-0.138174794962025,0.210900476294365
0.0,316,25,-0.138174794962025,0.210900476294365
0.0,318,25,-0.138174794962025,0.210900476294365
0.0,320,25,-0.138174794962025,0.210900476294365
0.0,322,25,-0.138174794962025,0.210900476294365
0.0,324,25,-0.138174794962025,0.210900476294365
0.0,326,25,-0.138174794962025,0.210900476294365
0.0,328,25,-0.138174794962025,0.210900476294365
0.0,330,25,-0.138174794962025,0.210900476294365
0.0,332,25,-0.138174794962025,0.210900476294365
0.0,334,25,-0.138174794962025,0.210900476294365
0.0,336,25,-0.138174794962025,0.210900476294365
0.0,338,25,-0.138174794962025,0.210900476294365
0.0,340,25,-0.138174794962025,0.210900476294365
0.0,342,25,-0.138174794962025,0.210900476294365
0.0,344,25,-0.138174794962025,0.210900476294365
0.0,346,25,-0.138174794962025,0.210900476294365
0.0,348,25,-0.138174794962025,0.210900476294365
0.0,350,25,-0.138174794962025,0.210900476294365
0.0,352,25,-0.138174794962025,0.210900476294365
0.0,354,25,-0.138174794962025,0.210900476294365
0.0,356,25,-0.138174794962025,0.210900476294365
0.0,358,25,-0.138174794962025,0.210900476294365
0.5,0,25,-0.1431982055836296,0.2047826708228859
0.5,2,25,-0.14334489725788158,0.20468116379257126
0.5,4,25,-0.1434857564352658,0.2045836927066235
0.5,6,25,-0.14362061150057218,0.20449037631854663
0.5,8,25,-0.14374929815367665,0.20440132831998517
0.5,10,25,-0.14387165960971499,0.20431665720220868
0.5,12,25,-0.14398754679010126,0.2042364661239315
0.5,14,25,-0.14409681850415731,0.2041608527856301
0.5,16,25,-0.1441993416211316,0.20408990931050972
0.5,18,25,-0.14429499123239847,0.20402372213226685
0.5,20,25,-0.14438365080364038,0.20396237188978292
0.5,22,25,-0.14446521231682669,0.203905933328878
0.5,24,25,-0.14453957640181722,0.20385447521124492
0.5,26,25,-0.1446066524574292,0.20380806023067352
0.5,28,25,-0.14466635876182127,0.20376674493666788
0.5,30,25,-0.14471862257205853,0.2037305796655496
0.5,32,25,-0.14476338021273888,0.2036996084791308
0.5,34,25,-0.14480057715357136,0.20367386911103133
0.5,36,25,-0.14483016807581348,0.20365339292070636
0.5,38,25,-0.1448521169274846,0.20363820485523973
0.5,40,25,-0.1448663969672899,0.20362832341894957
0.5,42,25,-0.1448729907972005,0.20362376065084406
0.5,44,25,-0.1448718903836505,0.20362452210995316
0.5,46,25,-0.14486309706732417,0.20363060686855625
0.5,48,25,-0.14484662156152295,0.2036420075133122
0.5,50,25,-0.14482248393911284,0.20365871015429168
0.5,52,25,-0.1447907136080686,0.20368069444189937
0.5,54,25,-0.14475134927564484,0.2037079335916673
0.5,56,25,-0.1447044389012169,0.20374039441688732
0.5,58,25,-0.1446500396378502,0.20377803736904412
0.5,60,25,-0.1445882177626674,0.2038208165859989
0.5,62,25,-0.14451904859610057,0.20386867994786548
0.5,64,25,-0.14444261641012446,0.20392156914051016
0.5,66,25,-0.1443590143255842,0.20397941972659875
0.5,68,25,-0.1442683441987419,0.20404216122410326
0.5,70,25,-0.1441707164971805,0.2041097171921736
0.5,72,25,-0.14406625016521588,0.20418200532426875
0.5,74,25,-0.1439550724789818,0.20425893754843508
0.5,76,25,-0.14383731889136323,0.2043404201346077
0.5,78,25,-0.14371313286696824,0.204426353808807
0.5,80,25,-0.1435826657073381,0.204516633874088
0.5,82,25,-0.14344607636660991,0.2046111503380976
0.5,84,25,-0.14330353125785547,0.2047097880470837
0.5,86,25,-0.14315520405033227,0.2048124268261918
0.5,88,25,-0.1430012754578946,0.20491894162587984
0.5,90,25,-0.1428419330188216,0.20502920267427185
0.5,92,25,-0.14267737086733034,0.2051430756352646
0.5,94,25,-0.14250778949705364,0.20526042177219608
0.5,96,25,-0.14233339551676913,0.20538109811687413
0.5,98,25,-0.14215440139867846,0.20550495764376156
0.5,100,25,-0.14197102521954258,0.20563184944910393
0.5,102,25,-0.1417834903949889,0.2057616189347826
0.5,104,25,-0.14159202540731353,0.20589410799666882
0.5,106,25,-0.14139686352711106,0.20602915521724888
0.5,108,25,-0.14119824252907015,0.20616659606228707
0.5,110,25,-0.14099640440228173,0.20630626308128489
0.5,112,25,-0.1407915950554124,0.2064479861114937
0.5,114,25,-0.1405840640171029,0.20659159248523182
0.5,116,25,-0.1403740641319558,0.20673690724025393
0.5,118,25,-0.140161851252483,0.20688375333291484
0.5,120,25,-0.13994768392738943,0.20703195185387077
0.5,122,25,-0.13973182308657056,0.20718132224605199
0.5,124,25,-0.13951453172321027,0.20733168252464443
0.5,126,25,-0.13929607457336357,0.20748284949881
0.5,128,25,-0.13907671779341688,0.20763463899487586
0.5,130,25,-0.1388567286358171,0.2077868660807227
0.5,132,25,-0.13863637512346622,0.20793934529109512
0.5,134,25,-0.13841592572317607,0.2080918908535628
0.5,136,25,-0.13819564901858325,0.20824431691485587
0.5,138,25,-0.1379758133829213,0.20839643776729797
0.5,140,25,-0.1377566866520493,0.20854806807506285
0.5,142,25,-0.13753853579813485,0.20869902309997737
0.5,144,25,-0.13732162660438982,0.20884911892659655
0.5,146,25,-0.13710622334125455,0.2089981726862761
0.5,148,25,-0.13689258844442487,0.20914600277996973
0.5,150,25,-0.1366809821951146,0.20929242909948
0.5,152,25,-0.1364716624029431,0.20943727324689163
0.5,154,25,-0.13626488409183385,0.20958035875192252
0.5,156,25,-0.13606089918930722,0.20972151128692554
0.5,158,25,-0.13585995621954539,0.2098605588792796
0.5,160,25,-0.13566230000060428,0.20999733212091207
0.5,162,25,-0.13546817134613998,0.21013166437469635
0.5,164,25,-0.13527780677201462,0.21026339197747343
0.5,166,25,-0.13509143820813854,0.21039235443945045
0.5,168,25,-0.13490929271589883,0.21051839463973263
0.5,170,25,-0.13473159221152045,0.21064135901775097
0.5,172,25,-0.13455855319569532,0.2107610977603521
0.5,174,25,-0.13439038648980967,0.21087746498432228
0.5,176,25,-0.13422729697909042,0.21099031891412443
0.5,178,25,-0.13406948336298444,0.2110995220546286
0.5,180,25,-0.13391713791307358,0.21120494135862963
0.5,182,25,-0.1337704462388216,0.21130644838894427
0.5,184,25,-0.13362958706143743,0.21140391947489204
0.5,186,25,-0.13349473199613093,0.2114972358629689
0.5,188,25,-0.13336604534302648,0.21158628386153036
0.5,190,25,-0.1332436838869882,0.21167095497930685
0.5,192,25,-0.13312779670660194,0.21175114605758402
0.5,194,25,-0.13301852499254588,0.21182675939588555
0.5,196,25,-0.13291600187557157,0.21189770287100593
0.5,198,25,-0.13282035226430466,0.21196389004924873
0.5,200,25,-0.1327316926930628,0.21202524029173261
0.5,202,25,-0.13265013117987642,0.21208167885263754
0.5,204,25,-0.13257576709488597,0.2121331369702706
0.5,206,25,-0.13250869103927393,0.21217955195084212
0.5,208,25,-0.13244898473488187,0.2122208672448477
0.5,210,25,-0.13239672092464463,0.21225703251596592
0.5,212,25,-0.1323519632839643,0.2122880037023848
0.5,214,25,-0.13231476634313175,0.2123137430704842
0.5,216,25,-0.13228517542088963,0.21233421926080923
0.5,218,25,-0.13226322656921854,0.2123494073262758
0.5,220,25,-0.1322489465294132,0.2123592887625659
0.5,222,25,-0.1322423526995026,0.21236385153067147
0.5,224,25,-0.1322434531130527,0.21236309007156243
0.5,226,25,-0.13225224642937902,0.2123570053129594
0.5,228,25,-0.13226872193518024,0.21234560466820332
0.5,230,25,-0.13229285955759035,0.2123289020272239
0.5,232,25,-0.13232462988863458,0.21230691773961616
0.5,234,25,-0.13236399422105832,0.21227967858984828
0.5,236,25,-0.1324109045954862,0.2122472177646282
0.5,238,25,-0.132465303858853,0.21220957481247152
0.5,240,25,-0.1325271257340358,0.21216679559551668
0.5,242,25,-0.1325962949006026,0.2121189322336501
0.5,244,25,-0.13267272708657873,0.21206604304100538
0.5,246,25,-0.132756329171119,0.21200819245491678
0.5,248,25,-0.1328469992979613,0.21194545095741227
0.5,250,25,-0.1329446269995227,0.21187789498934193
0.5,252,25,-0.13304909333148732,0.21180560685724678
0.5,254,25,-0.1331602710177214,0.2117286746330805
0.5,256,25,-0.1332780246053399,0.21164719204690782
0.5,258,25,-0.13340221062973495,0.21156125837270853
0.5,260,25,-0.13353267778936506,0.21147097830742764
0.5,262,25,-0.1336692671300932,0.21137646184341793
0.5,264,25,-0.13381181223884775,0.21127782413443183
0.5,266,25,-0.13396013944637097,0.21117518535532373
0.5,268,25,-0.1341140680388086,0.21106867055563563
0.5,270,25,-0.13427341047788158,0.21095840950724368
0.5,272,25,-0.13443797262937285,0.21084453654625093
0.5,274,25,-0.13460755399964952,0.2107271904093195
0.5,276,25,-0.13478194797993404,0.21060651406464145
0.5,278,25,-0.13496094209802473,0.21048265453775403
0.5,280,25,-0.13514431827716056,0.21035576273241172
0.5,282,25,-0.13533185310171428,0.210225993246733
0.5,284,25,-0.1355233180893896,0.21009350418484682
0.5,286,25,-0.1357184799695921,0.2099584569642667
0.5,288,25,-0.135917100967633,0.20982101611922846
0.5,290,25,-0.13611893909442146,0.20968134910023065
0.5,292,25,-0.1363237484412908,0.20953962607002194
0.5,294,25,-0.13653127947960025,0.20939601969628377
0.5,296,25,-0.1367412793647474,0.20925070494126166
0.5,298,25,-0.13695349224422018,0.2091038588486007
0.5,300,25,-0.13716765956931376,0.20895566032764476
0.5,302,25,-0.1373835204101326,0.20880628993546355
0.5,304,25,-0.13760081177349293,0.2086559296568711
0.5,306,25,-0.13781926892333957,0.2085047626827056
0.5,308,25,-0.13803862570328632,0.20835297318663967
0.5,310,25,-0.1382586148608861,0.20820074610079284
0.5,312,25,-0.13847896837323698,0.20804826689042052
0.5,314,25,-0.13869941777352712,0.20789572132795273
0.5,316,25,-0.13891969447811994,0.20774329526665972
0.5,318,25,-0.13913953011378183,0.20759117441421762
0.5,320,25,-0.13935865684465387,0.20743954410645268
0.5,322,25,-0.1395768076985684,0.20728858908153816
0.5,324,25,-0.13979371689231337,0.20713849325491898
0.5,326,25,-0.14000912015544864,0.20698943949523943
0.5,328,25,-0.14022275505227827,0.20684160940154575
0.5,330,25,-0.14043436130158857,0.20669518308203552
0.5,332,25,-0.14064368109376008,0.20655033893462396
0.5,334,25,-0.14085045940486934,0.206407253429593
0.5,336,25,-0.14105444430739597,0.20626610089459
0.5,338,25,-0.14125538727715772,0.206127053302236
0.5,340,25,-0.14145304349609888,0.20599028006060346
0.5,342,25,-0.14164717215056324,0.20585594780681918
0.5,344,25,-0.14183753672468857,0.2057242202040421
0.5,346,25,-0.14202390528856465,0.20559525774206508
0.5,348,25,-0.14220605078080434,0.2054692175417829
0.5,350,25,-0.14238375128518274,0.20534625316376456
0.5,352,25,-0.14255679030100782,0.20522651442116355
0.5,354,25,-0.1427249570068935,0.2051101471971932
0.5,356,25,-0.14288804651761272,0.20499729326739122
0.5,358,25,-0.14304586013371873,0.204888090126887
1.0,0,25,-0.14603078204408643,0.20018743372798561
1.0,2,25,-0.1462535878752393,0.20003325757332355
1.0,4,25,-0.1464675348920187,0.199885211500302
